lineup_key,archetype_lineup,possessions,minutes,points,fga_2pt,fga_3pt,fgm_2pt,fgm_3pt,ftm,fta,pts_2pt,pts_3pt,pts_ft,ast,tov,w_pct,plus_minus,off_rating,pace,ast_pct,ast_to,pct_fga_2pt,pct_fga_3pt,pct_pts_2pt,pct_pts_2pt_mr,pct_pts_3pt,pct_pts_ft,pct_pts_off_tov,pct_pts_paint
0_3_5_7_7,0_3_5_7_7,2000,1000.0,496,171,0,171,0,0,0,342,0,0,0,0,1.0,496,24.8,100.0,0.0,0,100.0,0.0,100.0,30.0,0.0,0.0,0.0,80.0
0_3_3_7_7,0_3_3_7_7,656,328.0,147,53,0,53,0,0,0,106,0,0,0,0,1.0,147,22.408536585365855,100.0,0.0,0,100.0,0.0,100.0,30.0,0.0,0.0,0.0,80.0
0_0_2_3_7,0_0_2_3_7,4028,2014.0,1366,536,0,536,0,0,0,1072,0,0,0,0,1.0,1366,33.91261171797418,100.0,0.0,0,100.0,0.0,100.0,30.0,0.0,0.0,0.0,80.0
0_0_2_7_7,0_0_2_7_7,498,249.0,158,63,0,63,0,0,0,126,0,0,0,0,1.0,158,31.72690763052209,100.0,0.0,0,100.0,0.0,100.0,30.0,0.0,0.0,0.0,80.0
0_0_1_2_4,0_0_1_2_4,12,6.0,2,0,0,0,0,0,0,0,0,0,0,0,1.0,2,16.666666666666664,100.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_1_3_4_5,0_1_3_4_5,3583,1791.5,1236,460,0,460,0,0,0,920,0,0,0,0,1.0,1236,34.49623220764722,100.0,0.0,0,100.0,0.0,100.0,30.0,0.0,0.0,0.0,80.0
0_1_4_5_6,0_1_4_5_6,140,70.0,36,10,0,10,0,0,0,20,0,0,0,0,1.0,36,25.71428571428571,100.0,0.0,0,100.0,0.0,100.0,30.0,0.0,0.0,0.0,80.0
0_1_2_3_3,0_1_2_3_3,130,65.0,35,17,0,17,0,0,0,34,0,0,0,0,1.0,35,26.923076923076923,100.0,0.0,0,100.0,0.0,100.0,30.0,0.0,0.0,0.0,80.0
0_0_1_2_3,0_0_1_2_3,216,108.0,55,16,0,16,0,0,0,32,0,0,0,0,1.0,55,25.462962962962965,100.0,0.0,0,100.0,0.0,100.0,30.0,0.0,0.0,0.0,80.0
0_0_0_1_2,0_0_0_1_2,67,33.5,27,12,0,12,0,0,0,24,0,0,0,0,1.0,27,40.298507462686565,100.0,0.0,0,100.0,0.0,100.0,30.0,0.0,0.0,0.0,80.0
0_0_0_0_1,0_0_0_0_1,456,228.0,135,47,0,47,0,0,0,94,0,0,0,0,1.0,135,29.605263157894733,100.0,0.0,0,100.0,0.0,100.0,30.0,0.0,0.0,0.0,80.0
0_1_3_4_7,0_1_3_4_7,3253,1626.5,1064,394,0,394,0,0,0,788,0,0,0,0,1.0,1064,32.70826928988626,100.0,0.0,0,100.0,0.0,100.0,30.0,0.0,0.0,0.0,80.0
1_1_3_4_7,1_1_3_4_7,2004,1002.0,795,354,0,354,0,0,0,708,0,0,0,0,1.0,795,39.67065868263473,100.0,0.0,0,100.0,0.0,100.0,30.0,0.0,0.0,0.0,80.0
1_1_3_5_7,1_1_3_5_7,114,57.0,30,11,0,11,0,0,0,22,0,0,0,0,1.0,30,26.31578947368421,100.0,0.0,0,100.0,0.0,100.0,30.0,0.0,0.0,0.0,80.0
0_1_5_7_7,0_1_5_7_7,278,139.0,103,41,0,41,0,0,0,82,0,0,0,0,1.0,103,37.05035971223021,100.0,0.0,0,100.0,0.0,100.0,30.0,0.0,0.0,0.0,80.0
0_1_1_4_5,0_1_1_4_5,71,35.5,34,16,0,16,0,0,0,32,0,0,0,0,1.0,34,47.88732394366197,100.0,0.0,0,100.0,0.0,100.0,30.0,0.0,0.0,0.0,80.0
0_1_1_3_4,0_1_1_3_4,107,53.5,41,15,0,15,0,0,0,30,0,0,0,0,1.0,41,38.31775700934579,100.0,0.0,0,100.0,0.0,100.0,30.0,0.0,0.0,0.0,80.0
1_1_3_4_5,1_1_3_4_5,252,126.0,83,31,0,31,0,0,0,62,0,0,0,0,1.0,83,32.93650793650794,100.0,0.0,0,100.0,0.0,100.0,30.0,0.0,0.0,0.0,80.0
0_1_1_3_5,0_1_1_3_5,668,334.0,218,76,0,76,0,0,0,152,0,0,0,0,1.0,218,32.634730538922156,100.0,0.0,0,100.0,0.0,100.0,30.0,0.0,0.0,0.0,80.0
2_2_4_5_6,2_2_4_5_6,70,35.0,9,2,0,2,0,0,0,4,0,0,0,0,1.0,9,12.857142857142856,100.0,0.0,0,100.0,0.0,100.0,30.0,0.0,0.0,0.0,80.0
2_3_4_5_6,2_3_4_5_6,1885,942.5,679,284,0,284,0,0,0,568,0,0,0,0,1.0,679,36.0212201591512,100.0,0.0,0,100.0,0.0,100.0,30.0,0.0,0.0,0.0,80.0
2_3_3_4_5,2_3_3_4_5,12108,6054.0,3695,1392,0,1392,0,0,0,2784,0,0,0,0,1.0,3695,30.517013544763792,100.0,0.0,0,100.0,0.0,100.0,30.0,0.0,0.0,0.0,80.0
0_2_3_3_6,0_2_3_3_6,653,326.5,208,77,0,77,0,0,0,154,0,0,0,0,1.0,208,31.852986217457886,100.0,0.0,0,100.0,0.0,100.0,30.0,0.0,0.0,0.0,80.0
0_2_2_3_4,0_2_2_3_4,1147,573.5,345,112,0,112,0,0,0,224,0,0,0,0,1.0,345,30.078465562336532,100.0,0.0,0,100.0,0.0,100.0,30.0,0.0,0.0,0.0,80.0
0_2_3_4_6,0_2_3_4_6,1708,854.0,590,238,0,238,0,0,0,476,0,0,0,0,1.0,590,34.54332552693209,100.0,0.0,0,100.0,0.0,100.0,30.0,0.0,0.0,0.0,80.0
2_3_3_3_6,2_3_3_3_6,17,8.5,5,2,0,2,0,0,0,4,0,0,0,0,1.0,5,29.411764705882355,100.0,0.0,0,100.0,0.0,100.0,30.0,0.0,0.0,0.0,80.0
2_3_3_5_6,2_3_3_5_6,511,255.5,205,78,0,78,0,0,0,156,0,0,0,0,1.0,205,40.11741682974559,100.0,0.0,0,100.0,0.0,100.0,30.0,0.0,0.0,0.0,80.0
0_3_3_4_6,0_3_3_4_6,886,443.0,268,95,0,95,0,0,0,190,0,0,0,0,1.0,268,30.248306997742663,100.0,0.0,0,100.0,0.0,100.0,30.0,0.0,0.0,0.0,80.0
2_3_3_4_6,2_3_3_4_6,948,474.0,376,153,0,153,0,0,0,306,0,0,0,0,1.0,376,39.66244725738397,100.0,0.0,0,100.0,0.0,100.0,30.0,0.0,0.0,0.0,80.0
1_4_5_7_7,1_4_5_7_7,296,148.0,108,44,0,44,0,0,0,88,0,0,0,0,1.0,108,36.486486486486484,100.0,0.0,0,100.0,0.0,100.0,30.0,0.0,0.0,0.0,80.0
1_4_5_5_7,1_4_5_5_7,82,41.0,21,5,0,5,0,0,0,10,0,0,0,0,1.0,21,25.609756097560975,100.0,0.0,0,100.0,0.0,100.0,30.0,0.0,0.0,0.0,80.0
4_5_5_7_7,4_5_5_7_7,67,33.5,21,7,0,7,0,0,0,14,0,0,0,0,1.0,21,31.343283582089555,100.0,0.0,0,100.0,0.0,100.0,30.0,0.0,0.0,0.0,80.0
3_4_5_7_7,3_4_5_7_7,826,413.0,269,102,0,102,0,0,0,204,0,0,0,0,1.0,269,32.56658595641647,100.0,0.0,0,100.0,0.0,100.0,30.0,0.0,0.0,0.0,80.0
0_3_4_5_7,0_3_4_5_7,7614,3807.0,2089,762,0,762,0,0,0,1524,0,0,0,0,1.0,2089,27.436301549776726,100.0,0.0,0,100.0,0.0,100.0,30.0,0.0,0.0,0.0,80.0
3_3_5_7_7,3_3_5_7_7,272,136.0,73,24,0,24,0,0,0,48,0,0,0,0,1.0,73,26.838235294117645,100.0,0.0,0,100.0,0.0,100.0,30.0,0.0,0.0,0.0,80.0
3_3_4_7_7,3_3_4_7_7,818,409.0,188,69,0,69,0,0,0,138,0,0,0,0,1.0,188,22.982885085574573,100.0,0.0,0,100.0,0.0,100.0,30.0,0.0,0.0,0.0,80.0
1_3_4_7_7,1_3_4_7_7,126,63.0,43,15,0,15,0,0,0,30,0,0,0,0,1.0,43,34.12698412698413,100.0,0.0,0,100.0,0.0,100.0,30.0,0.0,0.0,0.0,80.0
1_3_4_5_7,1_3_4_5_7,1038,519.0,368,137,0,137,0,0,0,274,0,0,0,0,1.0,368,35.45279383429673,100.0,0.0,0,100.0,0.0,100.0,30.0,0.0,0.0,0.0,80.0
3_3_4_5_7,3_3_4_5_7,899,449.5,253,85,0,85,0,0,0,170,0,0,0,0,1.0,253,28.142380422691883,100.0,0.0,0,100.0,0.0,100.0,30.0,0.0,0.0,0.0,80.0
0_0_3_4_5,0_0_3_4_5,7191,3595.5,2217,815,0,815,0,0,0,1630,0,0,0,0,1.0,2217,30.830204422194406,100.0,0.0,0,100.0,0.0,100.0,30.0,0.0,0.0,0.0,80.0
0_0_1_2_5,0_0_1_2_5,487,243.5,156,57,0,57,0,0,0,114,0,0,0,0,1.0,156,32.03285420944558,100.0,0.0,0,100.0,0.0,100.0,30.0,0.0,0.0,0.0,80.0
0_2_5_5_7,0_2_5_5_7,1061,530.5,322,112,0,112,0,0,0,224,0,0,0,0,1.0,322,30.348727615457115,100.0,0.0,0,100.0,0.0,100.0,30.0,0.0,0.0,0.0,80.0
0_1_5_5_5,0_1_5_5_5,296,148.0,101,37,0,37,0,0,0,74,0,0,0,0,1.0,101,34.12162162162162,100.0,0.0,0,100.0,0.0,100.0,30.0,0.0,0.0,0.0,80.0
2_3_4_5_7,2_3_4_5_7,3652,1826.0,1222,470,0,470,0,0,0,940,0,0,0,0,1.0,1222,33.461117196056954,100.0,0.0,0,100.0,0.0,100.0,30.0,0.0,0.0,0.0,80.0
1_2_3_4_5,1_2_3_4_5,295,147.5,94,36,0,36,0,0,0,72,0,0,0,0,1.0,94,31.864406779661014,100.0,0.0,0,100.0,0.0,100.0,30.0,0.0,0.0,0.0,80.0
0_1_2_3_4,0_1_2_3_4,29,14.5,8,4,0,4,0,0,0,8,0,0,0,0,1.0,8,27.586206896551722,100.0,0.0,0,100.0,0.0,100.0,30.0,0.0,0.0,0.0,80.0
0_0_1_3_4,0_0_1_3_4,5131,2565.5,1483,569,0,569,0,0,0,1138,0,0,0,0,1.0,1483,28.902748002338726,100.0,0.0,0,100.0,0.0,100.0,30.0,0.0,0.0,0.0,80.0
2_2_3_4_5,2_2_3_4_5,445,222.5,136,46,0,46,0,0,0,92,0,0,0,0,1.0,136,30.56179775280899,100.0,0.0,0,100.0,0.0,100.0,30.0,0.0,0.0,0.0,80.0
0_0_3_3_6,0_0_3_3_6,452,226.0,120,37,0,37,0,0,0,74,0,0,0,0,1.0,120,26.548672566371685,100.0,0.0,0,100.0,0.0,100.0,30.0,0.0,0.0,0.0,80.0
0_0_2_4_5,0_0_2_4_5,3562,1781.0,1080,417,0,417,0,0,0,834,0,0,0,0,1.0,1080,30.320044918585065,100.0,0.0,0,100.0,0.0,100.0,30.0,0.0,0.0,0.0,80.0
