,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat
y_rep[4509],0.0506413,0.0225553,1.01044,0.994114,-1.62717,0.058508,1.70002,2020.24,1728.35,77.3298,1.00079
y_rep[4510],-0.0629194,0.0229441,1.00388,1.03093,-1.66586,-0.047137,1.52103,1917.95,1903.04,73.4142,0.999551
y_rep[4511],-0.0284104,0.0246974,1.01044,1.00152,-1.73112,-0.0426716,1.64325,1763.41,1926.02,67.4991,1.00094
y_rep[4512],0.0207205,0.0232303,1.01611,1.00671,-1.6837,0.017321,1.71688,1919.09,1716.9,73.4579,1.00179
y_rep[4513],0.0509059,0.0223987,0.997035,0.992978,-1.5625,0.047597,1.70077,1983.96,1962.81,75.9411,1.00011
y_rep[4514],0.0810425,0.0245019,1.01126,1.01505,-1.61866,0.0932654,1.71245,1737.82,1760.62,66.5194,1.00024
y_rep[4515],0.0767356,0.0227096,1.02401,1.01108,-1.57678,0.0773826,1.81272,2046.48,1979.63,78.334,1.0014
y_rep[4516],0.0566391,0.022355,0.992692,0.967579,-1.61238,0.070489,1.67339,1988.48,2020.73,76.1141,1.00163
y_rep[4517],-0.0121834,0.0221076,1.01456,1.02707,-1.62722,-0.0255097,1.65057,2093.59,1730.61,80.1374,1.00033
y_rep[4518],0.0228629,0.0215307,0.986198,1.00677,-1.56743,0.0151063,1.63267,2107.61,1841.26,80.6739,1.00412
y_rep[4519],0.00681303,0.0222013,0.990764,0.9663,-1.58387,-0.00335071,1.65104,2013.51,1901.39,77.0722,1.00004
y_rep[4520],-0.17392,0.025068,1.02519,1.02896,-1.85863,-0.20098,1.51004,1692.19,1850.34,64.7727,1.00042
y_rep[4521],0.00902028,0.0220881,0.98415,0.9734,-1.56879,0.0155389,1.62964,1994.09,1850.62,76.3289,0.999533
y_rep[4522],-0.17997,0.022252,0.995785,0.990501,-1.83391,-0.184797,1.47895,2003.98,1937.04,76.7072,1.00016
y_rep[4523],0.040774,0.0225163,0.979643,0.986841,-1.4999,0.0311773,1.66345,1903.88,1925.51,72.8757,0.999673
y_rep[4524],-0.100066,0.0234374,1.00411,1.02174,-1.77573,-0.0880318,1.56053,1832.4,1965.87,70.1398,1.0019
y_rep[4525],-0.0381628,0.0215232,0.997404,1.00653,-1.67705,-0.0352188,1.54753,2155.16,1926.8,82.4942,0.999827
y_rep[4526],0.117705,0.0213232,0.992923,0.980743,-1.51108,0.1322,1.73198,2184.62,2007.06,83.6218,0.999731
y_rep[4527],0.0108386,0.0222468,1.00174,1.01922,-1.61173,-0.0164941,1.65789,2039.16,1970.61,78.0541,0.999792
y_rep[4528],0.0497468,0.0220751,0.981909,0.963892,-1.57422,0.0682554,1.67178,1981.42,1886.89,75.8436,1.00053
