,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat
y_pred[675],-0.995173,0.350129,1.02292,0.882381,-2.31415,-0.844469,0.386413,5.0,5.0,357.143,1.21289
y_pred[676],-1.17921,0.402173,1.27178,0.658718,-2.3839,-1.55357,0.906281,5.0,5.0,357.143,1.21289
y_pred[677],-0.247845,0.282627,0.893746,0.673143,-1.64784,-0.076583,0.858495,5.0,5.0,357.143,1.26581
y_pred[678],-1.42111,0.353985,1.1194,1.1792,-3.02499,-1.22186,-0.0543598,5.0,5.0,357.143,1.30896
y_pred[679],-0.653694,0.344464,1.08929,0.825154,-2.37696,-0.366697,0.632349,5.0,5.0,357.143,0.903218
y_pred[680],-0.826097,0.20648,0.652946,0.75721,-1.70793,-0.815966,0.0538142,5.0,5.0,357.143,1.06438
y_pred[681],-0.743134,0.298975,0.92899,0.695762,-1.80887,-0.958404,0.800532,5.0,5.0,357.143,1.4156
y_pred[682],0.00490372,0.146416,0.463007,0.325406,-0.696764,0.210021,0.434515,5.0,5.0,357.143,1.0093
y_pred[683],0.3849,0.289171,0.914438,0.866029,-0.932601,0.318799,1.62423,5.0,5.0,357.143,1.05945
y_pred[684],-0.0244095,0.349327,1.10467,0.609132,-1.6708,0.118397,1.49652,5.0,5.0,357.143,1.4156
y_pred[685],0.566099,0.253263,0.800888,0.889911,-0.716312,0.712885,1.37183,5.0,5.0,357.143,0.901249
y_pred[686],0.577495,0.236837,0.748943,0.834817,-0.455566,0.624731,1.63425,5.0,5.0,357.143,1.05408
y_pred[687],0.329945,0.343937,1.08228,0.950548,-0.716998,-0.0720599,2.07079,5.0,5.0,357.143,0.916965
y_pred[688],0.420026,0.41517,1.24229,0.917143,-1.07376,0.206927,2.3947,5.0,5.0,357.143,1.18184
y_pred[689],0.603812,0.276755,0.875176,1.06422,-0.527533,0.852549,1.64664,5.0,5.0,357.143,1.11552
y_pred[690],0.247703,0.221907,0.701731,0.558149,-0.640522,0.267036,1.34066,5.0,5.0,357.143,1.18184
y_pred[691],1.13376,0.282174,0.892313,1.1079,-0.0366217,1.08862,2.2986,5.0,5.0,357.143,1.13894
y_pred[692],0.29144,0.206765,0.653847,0.411259,-0.292566,0.148702,1.44741,5.0,5.0,357.143,0.941895
y_pred[693],0.593957,0.313403,0.991068,1.30353,-0.623758,0.666827,1.83407,5.0,5.0,357.143,0.996261
y_pred[694],0.129939,0.229338,0.695315,0.521221,-0.99044,0.170654,0.970911,5.0,5.0,357.143,1.07282
y_pred[695],0.887188,0.279701,0.884494,1.06019,-0.226105,0.848401,2.08871,5.0,5.0,357.143,1.0072
y_pred[696],0.0493176,0.206015,0.531991,0.414098,-0.749368,0.0495252,0.71993,5.0,5.0,357.143,1.18184
y_pred[697],0.988742,0.258042,0.816002,0.945108,-0.127771,1.28919,1.9444,5.0,5.0,357.143,0.913955
y_pred[698],0.479687,0.240682,0.761105,0.826408,-0.666283,0.484922,1.383,5.0,5.0,357.143,0.923285
y_pred[699],0.746106,0.356936,1.12873,1.12899,-0.730405,0.66046,2.334,5.0,5.0,357.143,1.11552
y_pred[700],1.3131,0.360027,1.13851,1.48712,0.0407929,1.15078,2.97581,5.0,5.0,357.143,1.13188
y_pred[701],0.75229,0.355173,0.992387,1.11539,-0.329991,0.718675,2.29122,5.0,5.0,357.143,1.4296
y_pred[702],-0.231823,0.341388,1.07956,0.476914,-2.17765,0.106042,0.790952,5.0,5.0,357.143,0.900344
y_pred[703],0.412586,0.237434,0.736524,0.962603,-0.326927,0.349387,1.44099,5.0,5.0,357.143,1.11552
y_pred[704],0.365298,0.225361,0.660294,0.741156,-0.527054,0.450485,1.1651,5.0,5.0,357.143,1.10397
y_pred[705],0.530704,0.24676,0.780323,0.293188,-0.486566,0.703481,1.54442,5.0,5.0,357.143,0.986468
y_pred[706],0.290353,0.303379,0.959368,0.755382,-1.15253,0.392468,1.51726,5.0,5.0,357.143,0.941895
y_pred[707],-0.0572335,0.299966,0.948575,0.996242,-1.20031,-0.21912,1.24162,5.0,5.0,357.143,1.05945
y_pred[708],0.476103,0.323145,1.02187,0.962864,-1.08003,0.790517,1.55913,5.0,5.0,357.143,0.921397
y_pred[709],0.99543,0.40436,1.2787,1.68015,-0.543977,0.99111,2.7519,5.0,5.0,357.143,1.0093
y_pred[710],0.467766,0.380232,1.2024,1.22112,-1.28673,0.888811,1.84945,5.0,5.0,357.143,1.06438
y_pred[711],0.422541,0.379269,1.15319,1.06519,-1.26162,0.728282,1.60578,5.0,5.0,357.143,1.10397
y_pred[712],-0.66994,0.442001,1.22378,0.819608,-1.76518,-1.21019,1.40987,5.0,5.0,357.143,0.945309
y_pred[713],0.421046,0.37965,1.20056,0.572281,-1.38654,0.602766,1.73313,5.0,5.0,357.143,1.10712
y_pred[714],-2.03801,0.326561,1.03268,0.445522,-3.12377,-2.31725,-0.206694,5.0,5.0,357.143,0.917994
y_pred[715],-1.27965,0.246142,0.778369,0.798391,-2.44122,-1.24954,-0.297035,5.0,5.0,357.143,1.60482
y_pred[716],-0.175534,0.298844,0.945028,0.746098,-1.66718,-0.098399,0.990312,5.0,5.0,357.143,1.02456
y_pred[717],-0.7171,0.187377,0.592538,0.815477,-1.37199,-0.709218,0.0913937,5.0,5.0,357.143,0.913955
y_pred[718],-0.910234,0.337317,1.06669,1.16062,-2.61115,-0.702948,0.223449,5.0,5.0,357.143,1.05408
y_pred[719],-0.883852,0.378442,1.17971,0.965289,-2.37397,-1.02058,1.01059,5.0,5.0,357.143,1.02456
y_pred[720],-0.721074,0.405201,1.28136,1.05393,-2.84681,-0.394313,0.542778,5.0,5.0,357.143,0.966142
y_pred[721],-0.909054,0.309505,0.644688,0.835097,-1.73586,-0.856681,-0.0725602,5.0,5.0,357.143,1.78943
