player_id,player_name,WINGSPAN,CSFGA,CS3PA,AVGDIST,SIXTto3PTr
1641736,Reece Beekman,78.5,1.0,1.0,,
1641737,Adem Bona,87.75,0.0,0.0,,
1641738,Kobe Brown,,0.6,0.6,,
1641739,Toumani Camara,,4.1,4.1,,
1641740,Jaylen Clark,,1.2,1.2,,
1641741,Ricky Council IV,,2.1,2.1,,
1641744,Zach Edey,94.75,0.9,0.8,,
1641745,Adam Flagler,,1.4,1.4,,
1641748,Andre Jackson Jr.,,1.0,1.0,,
1641752,Bobi Klintman,83.0,0.6,0.5,,
1641753,Chris Livingston,,0.4,0.4,,
1641755,Kevin McCullar Jr.,81.0,0.3,0.3,,
1641757,Jordan Miller,,0.9,0.9,,
1641763,Julian Phillips,,1.9,1.9,,
1641764,Brandin Podziemski,,2.9,2.9,,
1641765,Olivier-Maxence Prosper,,1.0,0.8,,
1641766,Adama Sanogo,,0.0,,,
1641767,Ben Sheppard,,2.9,2.8,,
1641772,Nae'Qwan Tomlin,86.5,1.4,1.4,,
1641774,Tristan Vukcevic,,3.3,2.5,,
1641775,Jordan Walsh,,1.0,1.0,,
1641779,Jalen Bridges,82.0,0.8,0.8,,
1641783,Tristan da Silva,82.25,2.9,2.7,,
1641787,Tosan Evbuomwan,,2.6,2.5,,
1641789,Jazian Gortman,,0.5,0.5,,
1641790,PJ Hall,85.5,0.4,0.4,,
1641794,Dillon Jones,83.0,1.0,1.0,,
1641796,Pelle Larsson,79.5,1.5,1.5,,
1641798,Jaylen Martin,,1.3,1.3,,
1641801,Emanuel Miller,,0.2,0.2,,
1641803,Tristen Newton,78.75,0.3,0.3,,
1641809,Drew Peterson,,0.9,0.9,,
1641810,Antonio Reeves,80.25,2.2,2.2,,
1641815,Isaiah Stevens,,0.0,0.0,,
1641816,Hunter Tyson,,1.4,1.3,,
1641817,Anton Watson,,0.2,0.1,,
1641824,Matas Buzelis,82.0,3.1,3.1,,
1641842,Ronald Holland II,82.75,1.6,1.5,,
1641854,Craig Porter Jr.,,0.4,0.4,,
1641857,Liam Robbins,,0.2,0.2,,
1641871,Duop Reath,,2.3,2.2,,
1641878,Damion Baugh,,3.2,3.1,,
1641879,Yuri Collins,,0.0,,,
1641890,Tyler Smith,85.0,1.3,1.3,,
1641936,Miles Norris,,2.3,2.3,,
1641989,Elijah Harkless,,2.1,2.1,,
1641998,Trey Jemison III,,0.0,,,
1642024,Alex Reese,,2.7,2.7,,
1642050,Jackson Rowe,,1.3,1.3,,
1642258,Zaccharie Risacher,81.5,4.4,4.1,,
1642259,Alex Sarr,88.25,5.1,4.8,,
1642261,Dalton Knecht,81.0,3.6,3.6,,
1642262,Cody Williams,85.0,2.6,2.6,,
1642263,Reed Sheppard,75.25,2.2,2.1,,
1642264,Stephon Castle,81.0,2.8,2.7,,
1642265,Rob Dillingham,75.0,0.8,0.7,,
1642266,Ja'Kobe Walter,82.0,3.0,3.0,,
1642267,Bub Carrington,80.0,2.6,2.5,,
1642268,Isaiah Collier,76.75,1.3,1.3,,
1642269,Devin Carter,80.75,1.0,1.0,,
1642270,Donovan Clingan,90.75,0.7,0.7,,
1642271,Kyle Filipowski,82.5,2.9,2.8,,
1642272,Jared McCain,75.5,3.6,3.6,,
1642273,Kyshawn George,82.25,3.9,3.8,,
1642274,Yves Missi,86.0,0.2,0.0,,
1642275,Tidjane Salaün,85.5,2.5,2.4,,
1642276,Kel'el Ware,88.5,1.9,1.6,,
1642277,Johnny Furphy,80.0,1.0,0.9,,
1642278,Tyler Kolek,74.75,0.9,0.9,,
1642279,Ulrich Chomche,88.0,0.1,,,
1642280,Trentyn Flowers,80.25,0.5,0.3,,
1642281,Jaylon Tyson,80.0,1.1,1.1,,
1642285,Cam Spencer,77.0,1.6,1.6,,
1642345,Oso Ighodaro,83.0,0.5,0.0,,
1642346,Ryan Dunn,85.5,3.5,3.3,,
1642347,Jamal Shead,75.0,2.1,2.1,,
1642348,Justin Edwards,82.0,3.7,3.6,,
1642349,Ajay Mitchell,78.25,1.5,1.4,,
1642352,Keshad Johnson,82.25,0.4,0.4,,
1642353,Cam Christie,80.0,0.5,0.5,,
1642354,KJ Simpson,76.5,2.1,2.1,,
1642355,Bronny James,79.25,0.6,0.6,,
1642358,AJ Johnson,80.5,1.8,1.8,,
1642359,Pacôme Dadiet,81.0,1.1,1.0,,
1642366,Quinten Post,86.5,4.3,4.1,,
1642367,Jonathan Mogbo,86.0,1.1,1.0,,
1642368,N'Faly Dante,90.0,0.0,,,
1642377,Jaylen Wells,79.25,4.5,4.2,,
1642382,Branden Carlson,,2.0,2.0,,
1642384,Isaiah Crawford,,0.3,0.3,,
1642385,Cui Yongxi,,0.6,0.6,,
