outcome,matchup_id,season,z_off_0,z_def_0,z_off_1,z_def_1,z_off_2,z_def_2,z_off_3,z_def_3,z_off_4,z_def_4,z_off_5,z_def_5,z_off_6,z_def_6,z_off_7,z_def_7
0,0_vs_0,2021-22,0.0,0.0,0.0,0.0,0.0,0.0,-1.293378178,0.0,1.44495251742,-1.8504444544999998,0.0,0.0,3.3458433578999998,-1.9507624616,0.0,0.8626308434
0,0_vs_0,2021-22,0.0,0.0,1.026905446,-3.162955947,0.0,-1.092226161,0.0,0.0,0.02557772810000003,0.8300145792,-0.2906957068,0.0,0.0,0.0,0.0,0.0
0,0_vs_0,2021-22,0.0,0.0,1.026905446,-2.1311669847,0.0,-0.6914236331,0.5780372449,-0.1653595235,-0.5542718952,0.4927628994,0.0,0.0,-0.2991071525,0.0,0.0,0.0
0,0_vs_0,2021-22,0.0,0.0,1.734141317,1.588904355,1.760307971,0.0,0.0,0.0,0.6730983673,2.0243791357,-1.492911616,1.263074309,1.427153112,0.0,0.0,0.0
0,0_vs_0,2020-21,0.0,0.0,1.734141317,2.0345428491,1.760307971,0.0,0.0,0.0,0.32227683319999995,0.7463070613,0.0,0.0,1.427153112,0.0,0.0,0.0
0,0_vs_0,2021-22,0.0,0.0,8.852427099,-0.9800456867,0.0,0.0,-2.792871907,1.0954942145,0.3285009148,0.0,0.0,0.0,0.0,0.0,-0.9580731751,0.0
0,0_vs_0,2021-22,0.0,0.0,0.0,0.9704326192,0.0,0.0,0.0,0.5905008681,0.8949887520999997,0.40108345,-1.492911616,0.0,1.427153112,0.0,0.0,0.0
0,0_vs_0,2021-22,0.0,0.0,-1.040886806,-0.3901329528,0.0,0.0,-0.8282705305,0.0,-1.053820187,-0.7773487999,0.0,0.0,0.5292377145,0.0,0.0,-0.2412563744
0,0_vs_0,2021-22,0.0,0.0,1.4939110209999997,0.0,0.0,0.0,0.0,0.0,-1.0408015449,0.5749650079,0.0,2.753353532,1.046318007,0.7779023424,0.0,0.0
0,0_vs_0,2021-22,0.0,0.0,0.0,1.491491182,0.0,1.1755223029000001,4.010188229,0.0,0.8334372375000002,0.237538337,0.0,1.980460557,0.987543846,0.0,0.0,0.0
0,0_vs_0,2021-22,0.0,0.0,0.0,-1.151352677,-0.08107110597,0.0,0.0,0.2060542838,-0.4545155989,-0.5189547807999999,-0.3761625382,1.359733597,0.7971674373000001,0.0,0.0,0.0
