archetype_lineup,WFGMPercUAST,WFGMPercAST,WThreeFGMPercUAST,WThreeFGMPercAST,WTwoFGMPercUAST,WTwoFGMPercAST,WPercPTSPITP,WPercPTSOffTO,WPercPTSFT,WPercPTSFBPS,WPercPTS3PT,WPercPTSMR,WPercPTS2PT,WPercFGA3PT,WPercFGA2PT,WOppTORATIOpercent,WOppFTARATE,WPACE,total_minutes,archetype_count
-1_-1_0_2_3,0.07188811188811188,0.1379020979020979,0.025664335664335663,0.1841258741258741,0.09419580419580419,0.11566433566433565,0.096013986013986,0.04097902097902097,0.023916083916083918,0.020769230769230766,0.07601398601398601,0.013846153846153847,0.10993006993006993,0.07972027972027972,0.13006993006993006,0.040489510489510494,0.05244755244755245,21.903496503496502,14.3,3
-1_-1_1_1_1,0.025277777777777777,0.04416666666666667,0.0,0.06944444444444445,0.02777777777777778,0.041666666666666664,0.03833333333333334,0.014374999999999999,0.014374999999999999,0.009583333333333334,0.007152777777777776,0.009583333333333334,0.04791666666666666,0.01916666666666667,0.050277777777777775,0.016180555555555556,0.028402777777777777,6.83611111111111,14.4,1
-1_-1_1_1_2,0.10810810810810811,0.16216216216216214,0.10810810810810811,0.16216216216216214,0.10810810810810811,0.16216216216216214,0.13189189189189188,0.059459459459459456,0.03945945945945945,0.03297297297297297,0.09891891891891891,0.0,0.13189189189189188,0.08459459459459459,0.18594594594594593,0.05243243243243243,0.046486486486486484,31.851351351351347,3.7,1
-1_-1_1_1_3,0.03572237960339943,0.07759206798866856,0.025949008498583576,0.08736543909348443,0.04866855524079321,0.0646458923512748,0.037563739376770544,0.009461756373937676,0.010793201133144477,0.015014164305949011,0.06079320113314448,0.004135977337110482,0.04169971671388102,0.05492917847025496,0.058385269121813035,0.014985835694050993,0.026572237960339945,10.769971671388102,35.3,4
-1_-1_1_2_3,0.0331981981981982,0.05689189189189189,0.01846846846846847,0.07162162162162163,0.03954954954954955,0.05054054054054054,0.0377027027027027,0.0033783783783783786,0.01301801801801802,0.012162162162162163,0.02765765765765766,0.011711711711711712,0.049414414414414416,0.030270270270270266,0.05981981981981981,0.005990990990990991,0.011936936936936938,9.373873873873874,22.2,2
-1_-1_2_2_2,0.12977272727272726,0.09749999999999999,0.0,0.22727272727272727,0.16522727272727272,0.06204545454545454,0.14659090909090908,0.029318181818181816,0.0,0.029318181818181816,0.0659090909090909,0.014772727272727272,0.16136363636363635,0.10409090909090907,0.12318181818181818,0.022045454545454545,0.056818181818181816,24.59090909090909,4.4,1
-1_0_0_0_0,0.05647823261858349,0.09297595841455492,0.024912280701754386,0.12453541260558804,0.06943469785575049,0.08001299545159193,0.06360623781676412,0.020578297595841455,0.023268356075373618,0.020480831708901883,0.04734892787524366,0.01525666016894087,0.07886939571150096,0.05595841455490578,0.09348927875243665,0.02120857699805068,0.037394411955815464,15.381286549707601,153.9,23
-1_0_0_0_1,0.06629936007491806,0.12412205400343375,0.026275948181676292,0.16414078351802716,0.08765568909005775,0.10276260340252848,0.07638364289058841,0.02878414234431091,0.027541751209614482,0.02514437334165756,0.07444825971593569,0.012049321055095987,0.0884329639456844,0.08434212579990634,0.1060746058997971,0.025081941626346183,0.04514437334165756,19.656859684719837,640.7,122
-1_0_0_0_2,0.05297496318114874,0.10902798232695139,0.014005891016200294,0.1443225331369661,0.07436671575846833,0.0876362297496318,0.06751104565537555,0.025463917525773195,0.021041973490427097,0.02380706921944035,0.060813696612665676,0.012632547864506627,0.0801362297496318,0.06998527245949926,0.09202135493372605,0.02257363770250368,0.03334315169366716,16.526030927835052,271.6,44
-1_0_0_0_3,0.06851907820173782,0.11282584057423498,0.02133358519078202,0.14867019267094825,0.08671326029467322,0.09462788061956932,0.08513411409142425,0.027551945598791087,0.025130336229693996,0.02278806195693238,0.059863996977710617,0.011197582168492634,0.09634302984510767,0.07138269739327541,0.10995466565923688,0.025391008689081982,0.04054401208915753,18.501208915753686,264.7,48
-1_0_0_1_1,0.06708506742134177,0.1160379557183286,0.034587980689195934,0.14686698851340102,0.08342433827201598,0.0997003495921425,0.07685200599300815,0.028358581654736138,0.02719660396204428,0.026014649575495253,0.06549525553520891,0.013594140169801898,0.09042783419344098,0.07843515898118861,0.10468786415848177,0.02653237889129349,0.04445147328117196,19.041418345263857,600.7,110
-1_0_0_1_2,0.07293755697356427,0.1276116681859617,0.03157930720145852,0.1666886964448496,0.08979261622607111,0.11076116681859617,0.08785095715587966,0.031476754785779396,0.032616226071103004,0.02551731996353692,0.06655651777575204,0.01354147675478578,0.10138787602552415,0.07962625341841385,0.12092297174111212,0.02734275296262534,0.04873518687329079,20.45398814949863,438.8,88
-1_0_0_1_3,0.05898682501391724,0.10987752829838561,0.03360920393393951,0.1333995175357209,0.07252365930599369,0.09633883837446651,0.0713082204490629,0.02586565225459269,0.02629615884208573,0.02189088884765263,0.0608832807570978,0.010371126368528485,0.0816793468175914,0.07301911300797922,0.09584524030432362,0.022386342549638154,0.0376990165151234,17.310577101503064,538.9,91
-1_0_0_2_2,0.058006329113924046,0.10022151898734176,0.03316455696202532,0.1250632911392405,0.07522151898734177,0.08300632911392404,0.06082278481012658,0.01661392405063291,0.021645569620253165,0.02164556962025316,0.058924050632911396,0.016803797468354427,0.07765822784810127,0.06857594936708859,0.08965189873417721,0.0160126582278481,0.031803797468354426,15.953481012658226,31.6,5
-1_0_0_2_3,0.058327922077922076,0.10400974025974026,0.017597402597402598,0.14474025974025975,0.06905844155844157,0.09327922077922078,0.07975649350649351,0.031185064935064934,0.0287987012987013,0.03386363636363636,0.043750000000000004,0.010032467532467532,0.0898051948051948,0.06055194805194805,0.10178571428571427,0.027792207792207792,0.03487012987012987,16.916071428571428,61.6,10
